trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1000000.0}",25,0,-90.63463368423754,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': 5486.968449931412}",30,0,-98.18312563503828,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 1479.289940828402}",20,0,-126.21369180390347,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 674.6500252993757}",30,0,-28.7157887929669,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 384.4675124951941}",20,0,-140.7361279438549,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 248.000496000992}",20,0,-237.35187474030337,"{0: 5, 1: 6, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.9, 'e': 173.13019390581718}",20,0,-110.47465222740779,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 127.67723195761117}",35,5,-109.92920873579988,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",1
9,False,"{'a': 0.9, 'e': 98.02960494069211}",20,0,-101.0522126558578,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 77.62619107686935}",30,0,-186.83574849837146,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.9, 'e': 62.98815822625346}",25,0,-181.1208315941501,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.9, 'e': 52.1315278447523}",30,0,-107.14989465225472,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
13,False,"{'a': 0.9, 'e': 43.85772553835357}",25,0,-59.15729290642197,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 37.40799970073599}",30,0,-104.38383870733199,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 32.283057851239654}",20,0,-113.55554021695508,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.9, 'e': 28.143447150124164}",25,0,-164.48505058688065,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
17,False,"{'a': 0.9, 'e': 24.75186257765895}",25,0,-106.21094186303992,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.9, 'e': 21.938364165875957}",25,7,-65.6229162195928,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.9, 'e': 19.578667084344882}",20,0,-85.98378271745443,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.9, 'e': 17.58017659287386}",20,0,-45.08067373966747,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 15.872763924382138}",25,0,-147.3568593572191,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.9, 'e': 14.402529084107154}",25,0,-158.96671952898467,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.9, 'e': 13.127494223902529}",35,0,-212.72058838295808,"{0: 18, 1: 5, 2: 9, 3: 0, 4: 3}",0
24,False,"{'a': 0.9, 'e': 12.014573677871248}",25,4,-99.58423525256346,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.9, 'e': 11.037405768148243}",20,0,-81.96273474393001,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.9, 'e': 10.174777235970879}",20,0,-151.50493606317139,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
27,False,"{'a': 0.9, 'e': 9.409462155143201}",30,0,-83.82166616965226,"{0: 23, 1: 5, 2: 0, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 8.727355240449537}",25,0,-181.02293777143865,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
29,False,"{'a': 0.9, 'e': 8.11681723362634}",35,0,-185.73801048332942,"{0: 24, 1: 2, 2: 4, 3: 2, 4: 3}",0
30,False,"{'a': 0.9, 'e': 7.568175067025642}",25,0,-108.37019864562174,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.9, 'e': 7.073336351290168}",25,0,-69.75518147976454,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.9, 'e': 6.625489250971868}",25,0,-229.30381467054136,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
33,False,"{'a': 0.9, 'e': 6.218866798092044}",20,0,-54.083274205585134,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.9, 'e': 5.848560303774215}",25,0,-70.77580985727927,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 5.510370517313578}",20,0,-62.77410639616562,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.9, 'e': 5.200688051029145}",20,0,-60.30698078686806,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.9, 'e': 4.916396674549284}",20,0,-35.823997686035284,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.9, 'e': 4.654794613006188}",25,0,-83.84823930064634,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
39,False,"{'a': 0.9, 'e': 4.413530117929519}",20,0,-133.8657825220977,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.9, 'e': 4.1905484275490785}",25,0,-152.6518743575948,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
41,False,"{'a': 0.9, 'e': 3.9840478723192287}",30,0,-271.52873941101376,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 5}",0
42,False,"{'a': 0.9, 'e': 3.7924433669691417}",20,0,-211.38914155914955,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
43,False,"{'a': 0.9, 'e': 3.6143359019213777}",25,0,-87.73108960475754,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 3.4484869332519463}",30,0,-141.53379465766236,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
45,False,"{'a': 0.9, 'e': 3.2937967925006815}",20,0,-195.51313030647384,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
46,False,"{'a': 0.9, 'e': 3.1492864110653316}",25,0,-59.490986879582586,"{0: 13, 1: 9, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 3.014081790123456}",20,0,-150.1780592993839,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.9, 'e': 2.8874007546221874}",20,0,-31.20003855851178,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.9, 'e': 2.768541615333291}",20,0,-90.76000576063632,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.9, 'e': 2.6568734311992666}",25,0,-93.82140448500535,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.9, 'e': 2.5518276189406865}",25,0,-194.28297317229897,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
52,False,"{'a': 0.9, 'e': 2.4528907010300314}",20,0,-103.70132661017831,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.9, 'e': 2.359598018881505}",30,11,-26.81432991909921,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 2.2715282671816994}",25,0,-88.70364306560359,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
55,False,"{'a': 0.9, 'e': 2.1882987290361}",20,0,-134.6924739143984,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
56,False,"{'a': 0.9, 'e': 2.1095611110847434}",20,0,-94.47352554206252,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.9, 'e': 2.034997893777182}",30,0,-160.31824375128053,"{0: 15, 1: 10, 2: 1, 3: 2, 4: 2}",0
58,False,"{'a': 0.9, 'e': 1.9643191252494094}",25,0,-80.36565747870036,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
